Norway,  Births (1-year)	Last modified: 03 Apr 2023;  Methods Protocol: v6 (2017)

Year          Female      Male     Total
1846           20156     21372     41528
1847           20199     21411     41610
1848           19686     20868     40554
1849           21424     22709     44133
1850           20914     22168     43082
1851           21796     23103     44899
1852           21466     22753     44219
1853           22349     23690     46039
1854           24221     25675     49896
1855           23999     25439     49438
1856           23452     24859     48311
1857           24368     25830     50198
1858           25083     26588     51671
1859           26483     28073     54556
1860           25764     27310     53074
1861           24051     25495     49546
1862           25335     26855     52190
1863           26167     27738     53905
1864           25805     27353     53158
1865           26184     27755     53939
1866           26294     27872     54166
1867           25052     26555     51607
1868           24695     26177     50872
1869           24265     25720     49985
1870           24572     26046     50618
1871           24836     26327     51163
1872           25530     27062     52592
1873           25606     27143     52749
1874           26825     28434     55259
1875           27600     29256     56856
1876           28009     29690     57699
1877           28503     30214     58717
1878           28673     30393     59066
1879           29663     31443     61106
1880           28794     30521     59315
1881           28048     29730     57778
1882           28525     30237     58762
1883           28854     30586     59440
1884           29621     31398     61019
1885           29724     31507     61231
1886           29352     31114     60466
1887           30013     31814     61827
1888           29151     30901     60052
1889           28549     30262     58811
1890           29489     31258     60747
1891           30049     31852     61901
1892           29094     30839     59933
1893           30011     31812     61823
1894           29558     31331     60889
1895           30737     32581     63318
1896           30706     32548     63254
1897           31230     33103     64333
1898           32003     33923     65926
1899           32023     33945     65968
1900           32150     34079     66229
1901           32671     34632     67303
1902           32279     34215     66494
1903           31782     33688     65470
1904           31137     33006     64143
1905           30389     32212     62601
1906           30141     31950     62091
1907           29759     31543     61302
1908           29945     31741     61686
1909           30740     32584     63324
1910           29848     31638     61486
1911           29965     31762     61727
1912           29810     31599     61409
1913           29754     31540     61294
1914           30151     31960     62111
1915           28629     30346     58975
1916           29758     31362     61120
1917           31147     32822     63969
1918           30908     32560     63468
1919           28538     30948     59486
1920           33700     35626     69326
1921           31572     33038     64610
1922           30820     32088     62908
1923           29960     31771     61731
1924           28007     30014     58021
1925           26339     27727     54066
1926           26348     27815     54163
1927           24430     25745     50175
1928           24368     25513     49881
1929           23373     24999     48372
1930           23206     24638     47844
1931           22419     23570     45989
1932           22062     23389     45451
1933           20280     21834     42114
1934           20244     21589     41833
1935           20176     21145     41321
1936           20532     21708     42240
1937           21245     22563     43808
1938           22009     23310     45319
1939           22771     23832     46603
1940           23195     24748     47943
1941           22251     23522     45773
1942           25808     27417     53225
1943           27623     29658     57281
1944           29923     32318     62241
1945           29925     31889     61814
1946           34207     36520     70727
1947           32789     34836     67625
1948           31521     34097     65618
1949           30492     32560     63052
1950           30203     32207     62410
1951           29176     31395     60571
1952           30222     32321     62543
1953           30672     32313     62985
1954           30632     32107     62739
1955           30777     32775     63552
1956           31302     32869     64171
1957           30711     32352     63063
1958           30645     32340     62985
1959           30469     32536     63005
1960           30106     31774     61880
1961           30225     32330     62555
1962           30243     32011     62254
1963           30922     32368     63290
1964           31601     33969     65570
1965           31993     34284     66277
1966           32383     34678     67061
1967           32421     34358     66779
1968           32664     34686     67350
1969           32900     34846     67746
1970           31280     33271     64551
1971           31962     33588     65550
1972           31266     32994     64260
1973           29618     31590     61208
1974           29190     30413     59603
1975           27496     28849     56345
1976           26066     27408     53474
1977           24705     26172     50877
1978           25092     26657     51749
1979           25071     26509     51580
1980           24691     26348     51039
1981           24848     25860     50708
1982           24791     26454     51245
1983           24168     25769     49937
1984           24511     25763     50274
1985           24829     26305     51134
1986           25458     27056     52514
1987           26525     27502     54027
1988           28053     29473     57526
1989           28842     30461     59303
1990           29663     31276     60939
1991           29503     31305     60808
1992           28955     31154     60109
1993           29112     30566     59678
1994           29156     30936     60092
1995           29286     31006     60292
1996           29437     31490     60927
1997           29077     30724     59801
1998           28482     29870     58352
1999           28830     30468     59298
2000           28798     30436     59234
2001           27655     29041     56696
2002           27109     28325     55434
2003           27444     29014     56458
2004           27759     29192     56951
2005           27703     29053     56756
2006           28556     29989     58545
2007           28455     30004     58459
2008           29361     31136     60497
2009           29974     31833     61807
2010           29981     31461     61442
2011           29214     31006     60220
2012           29322     30933     60255
2013           28857     30138     58995
2014           28714     30370     59084
2015           28689     30369     59058
2016           28504     30386     58890
2017           27460     29173     56633
2018           26690     28430     55120
2019           26453     28042     54495
2020           25916     27063     52979
2021           27376     28684     56060
2022           25035     26445     51480
