Norway, Deaths (period 1x1), 	Last modified: 01 Aug 2024;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
  1846           0              2027.00         2496.50         4523.50
  1846           1               827.00          893.00         1720.00
  1846           2               448.50          459.50          908.00
  1846           3               344.00          328.00          672.00
  1846           4               233.50          224.00          457.50
  1846           5               152.00          150.50          302.50
  1846           6               119.50          117.00          236.50
  1846           7                98.50           95.00          193.50
  1846           8                85.00           84.00          169.00
  1846           9                62.50           66.50          129.00
  1846          10                44.50           54.50           99.00
  1846          11                40.50           53.00           93.50
  1846          12                39.00           52.50           91.50
  1846          13                43.50           49.50           93.00
  1846          14                46.50           47.00           93.50
  1846          15                50.00           50.50          100.50
  1846          16                51.00           59.00          110.00
  1846          17                47.50           67.50          115.00
  1846          18                48.50           74.00          122.50
  1846          19                60.50           90.50          151.00
  1846          20                70.50          101.00          171.50
  1846          21                71.00           96.50          167.50
  1846          22                70.00           95.50          165.50
  1846          23                72.00           92.50          164.50
  1846          24                73.50           89.00          162.50
  1846          25                72.00           88.50          160.50
  1846          26                70.50           81.00          151.50
  1846          27                70.00           76.00          146.00
  1846          28                68.50           71.50          140.00
  1846          29                70.50           75.00          145.50
  1846          30                68.00           76.00          144.00
  1846          31                64.00           65.00          129.00
  1846          32                66.00           65.50          131.50
  1846          33                65.50           65.50          131.00
  1846          34                62.00           64.50          126.50
  1846          35                62.50           67.50          130.00
  1846          36                61.00           69.50          130.50
  1846          37                59.00           67.50          126.50
  1846          38                58.00           63.00          121.00
  1846          39                64.50           72.50          137.00
  1846          40                67.50           73.00          140.50
  1846          41                63.00           71.00          134.00
  1846          42                66.00           75.50          141.50
  1846          43                66.50           75.50          142.00
  1846          44                67.00           85.00          152.00
  1846          45                65.50           82.50          148.00
  1846          46                64.00           81.00          145.00
  1846          47                66.50           93.00          159.50
  1846          48                66.50           95.50          162.00
  1846          49                75.00          106.00          181.00
  1846          50                78.50          100.50          179.00
  1846          51                74.50           92.00          166.50
  1846          52                85.00           98.50          183.50
  1846          53                89.00           96.50          185.50
  1846          54                90.00          103.50          193.50
  1846          55                94.50          108.50          203.00
  1846          56                89.50          108.00          197.50
  1846          57                85.00          107.00          192.00
  1846          58                87.00          105.50          192.50
  1846          59               115.00          116.00          231.00
  1846          60               121.50          110.50          232.00
  1846          61               100.00          101.50          201.50
  1846          62               105.00          109.50          214.50
  1846          63               117.50          116.50          234.00
  1846          64               121.00          120.00          241.00
  1846          65               122.00          118.00          240.00
  1846          66               121.50          116.50          238.00
  1846          67               124.50          113.00          237.50
  1846          68               125.50          111.50          237.00
  1846          69               133.50          118.50          252.00
  1846          70               126.50          109.50          236.00
  1846          71               116.00          101.50          217.50
  1846          72               126.00          112.00          238.00
  1846          73               134.50          113.00          247.50
  1846          74               152.50          120.00          272.50
  1846          75               154.00          124.50          278.50
  1846          76               155.50          125.00          280.50
  1846          77               161.00          128.50          289.50
  1846          78               146.50          119.00          265.50
  1846          79               161.50          121.00          282.50
  1846          80               150.00          108.00          258.00
  1846          81               117.00           85.50          202.50
  1846          82               123.50           88.00          211.50
  1846          83               127.00           95.00          222.00
  1846          84               119.00           89.00          208.00
  1846          85               101.50           76.00          177.50
  1846          86                91.00           68.00          159.00
  1846          87                84.00           57.50          141.50
  1846          88                70.50           46.00          116.50
  1846          89                73.00           45.00          118.00
  1846          90                64.50           39.50          104.00
  1846          91                40.00           25.50           65.50
  1846          92                34.00           23.50           57.50
  1846          93                28.00           19.00           47.00
  1846          94                23.50           14.50           38.00
  1846          95                21.00           13.00           34.00
  1846          96                19.00            9.00           28.00
  1846          97                15.00            5.50           20.50
  1846          98                 8.50            4.50           13.00
  1846          99                 9.00            4.00           13.00
  1846         100                 8.50            3.50           12.00
  1846         101                 2.50            2.00            4.50
  1846         102                 1.50            1.00            2.50
  1846         103                 1.50            0.50            2.00
  1846         104                 1.00            0.50            1.50
  1846         105                 1.00            0.00            1.00
  1846         106                 0.50            0.00            0.50
  1846         107                 0.00            0.00            0.00
  1846         108                 0.00            0.00            0.00
  1846         109                 0.00            0.00            0.00
  1846         110+                0.00            0.00            0.00
  1847           0              2149.50         2662.00         4811.50
  1847           1              1014.00         1098.00         2112.00
  1847           2               540.00          547.00         1087.00
  1847           3               406.00          372.00          778.00
  1847           4               288.50          270.50          559.00
  1847           5               200.00          200.50          400.50
  1847           6               156.50          156.00          312.50
  1847           7               129.50          127.00          256.50
  1847           8               111.50          112.50          224.00
  1847           9                85.50           89.50          175.00
  1847          10                66.00           74.00          140.00
  1847          11                61.50           72.00          133.50
  1847          12                59.00           70.50          129.50
  1847          13                64.50           66.50          131.00
  1847          14                69.00           63.50          132.50
  1847          15                73.50           68.00          141.50
  1847          16                76.00           79.50          155.50
  1847          17                72.00           90.50          162.50
  1847          18                72.50           99.50          172.00
  1847          19                74.50          109.50          184.00
  1847          20                73.00          112.00          185.00
  1847          21                74.00          107.50          181.50
  1847          22                73.50          106.50          180.00
  1847          23                74.50          103.50          178.00
  1847          24                75.50           99.50          175.00
  1847          25                74.50           98.50          173.00
  1847          26                74.00           90.00          164.00
  1847          27                73.50           84.50          158.00
  1847          28                71.50           79.50          151.00
  1847          29                76.50           81.00          157.50
  1847          30                76.50           80.50          157.00
  1847          31                73.00           68.50          141.50
  1847          32                75.00           69.00          144.00
  1847          33                73.50           69.50          143.00
  1847          34                69.50           68.50          138.00
  1847          35                70.00           71.50          141.50
  1847          36                69.00           73.50          142.50
  1847          37                67.00           71.50          138.50
  1847          38                65.00           67.50          132.50
  1847          39                74.50           77.50          152.00
  1847          40                80.50           77.50          158.00
  1847          41                76.50           75.00          151.50
  1847          42                80.00           79.50          159.50
  1847          43                80.00           79.50          159.50
  1847          44                80.50           89.50          170.00
  1847          45                78.50           87.00          165.50
  1847          46                77.50           85.50          163.00
  1847          47                79.50           97.50          177.00
  1847          48                79.00          100.00          179.00
  1847          49                89.50          115.00          204.50
  1847          50                93.00          112.00          205.00
  1847          51                89.50          102.50          192.00
  1847          52               102.00          109.50          211.50
  1847          53               105.00          108.00          213.00
  1847          54               107.00          116.00          223.00
  1847          55               113.00          121.00          234.00
  1847          56               107.00          121.00          228.00
  1847          57               101.00          120.50          221.50
  1847          58               102.00          118.00          220.00
  1847          59               135.50          131.00          266.50
  1847          60               143.00          126.00          269.00
  1847          61               117.50          115.50          233.00
  1847          62               123.00          124.50          247.50
  1847          63               137.50          132.50          270.00
  1847          64               142.50          136.00          278.50
