Norway, Death rates (period 1x1), 	Last modified: 03 Apr 2023;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
  1846           0             0.109496        0.130214        0.120036
  1846           1             0.049836        0.052406        0.051138
  1846           2             0.027931        0.027557        0.027740
  1846           3             0.020497        0.019277        0.019883
  1846           4             0.013957        0.013436        0.013697
  1846           5             0.009950        0.009860        0.009905
  1846           6             0.008612        0.008418        0.008515
  1846           7             0.007351        0.006971        0.007159
  1846           8             0.006279        0.006066        0.006172
  1846           9             0.004574        0.004777        0.004677
  1846          10             0.003117        0.003757        0.003440
  1846          11             0.002803        0.003604        0.003207
  1846          12             0.002844        0.003752        0.003303
  1846          13             0.003350        0.003662        0.003509
  1846          14             0.003650        0.003514        0.003580
  1846          15             0.003826        0.003746        0.003785
  1846          16             0.003802        0.004288        0.004048
  1846          17             0.003617        0.005041        0.004336
  1846          18             0.003816        0.005791        0.004806
  1846          19             0.004599        0.006868        0.005734
  1846          20             0.005192        0.007589        0.006379
  1846          21             0.005405        0.007704        0.006527
  1846          22             0.005406        0.007772        0.006558
  1846          23             0.005581        0.007553        0.006541
  1846          24             0.005698        0.007341        0.006494
  1846          25             0.005670        0.007433        0.006523
  1846          26             0.005927        0.007259        0.006572
  1846          27             0.006316        0.007247        0.006768
  1846          28             0.006325        0.006937        0.006623
  1846          29             0.006287        0.007043        0.006655
  1846          30             0.006497        0.007600        0.007036
  1846          31             0.007581        0.007960        0.007768
  1846          32             0.008750        0.008925        0.008836
  1846          33             0.008089        0.008286        0.008186
  1846          34             0.007661        0.008093        0.007875
  1846          35             0.008352        0.009039        0.008695
  1846          36             0.009183        0.010504        0.009842
  1846          37             0.008714        0.010228        0.009461
  1846          38             0.007616        0.008445        0.008026
  1846          39             0.008351        0.009438        0.008893
  1846          40             0.008893        0.009738        0.009313
  1846          41             0.008895        0.010306        0.009591
  1846          42             0.009647        0.011503        0.010556
  1846          43             0.009875        0.011898        0.010856
  1846          44             0.009946        0.013324        0.011589
  1846          45             0.009318        0.012348        0.010794
  1846          46             0.009150        0.012258        0.010660
  1846          47             0.009700        0.014425        0.011990
  1846          48             0.009912        0.015185        0.012463
  1846          49             0.011547        0.017491        0.014416
  1846          50             0.012395        0.017106        0.014662
  1846          51             0.011579        0.015492        0.013457
  1846          52             0.013186        0.016641        0.014840
  1846          53             0.013938        0.016518        0.015171
  1846          54             0.014699        0.018611        0.016561
  1846          55             0.016489        0.020952        0.018607
  1846          56             0.016581        0.022256        0.019268
  1846          57             0.016536        0.023286        0.019722
  1846          58             0.017901        0.024428        0.020972
  1846          59             0.024660        0.028265        0.026348
  1846          60             0.027226        0.028594        0.027861
  1846          61             0.023103        0.027649        0.025189
  1846          62             0.025797        0.032073        0.028660
  1846          63             0.029999        0.035766        0.032618
  1846          64             0.030497        0.036684        0.033293
  1846          65             0.031601        0.037387        0.034203
  1846          66             0.033859        0.040150        0.036672
  1846          67             0.037370        0.042441        0.039622
  1846          68             0.039339        0.044189        0.041481
  1846          69             0.046291        0.052782        0.049132
  1846          70             0.044982        0.050277        0.047293
  1846          71             0.044402        0.049696        0.046725
  1846          72             0.061215        0.069143        0.064706
  1846          73             0.070631        0.075510        0.072778
  1846          74             0.078275        0.078646        0.078438
  1846          75             0.082287        0.086254        0.084014
  1846          76             0.089535        0.095529        0.092111
  1846          77             0.103983        0.111991        0.107391
  1846          78             0.105087        0.116934        0.110086
  1846          79             0.128031        0.132603        0.129950
  1846          80             0.115830        0.122565        0.118557
  1846          81             0.099069        0.106398        0.102037
  1846          82             0.116135        0.121968        0.118493
  1846          83             0.136266        0.151073        0.142232
  1846          84             0.149435        0.169309        0.157337
  1846          85             0.148157        0.175115        0.158612
  1846          86             0.156582        0.198347        0.172078
  1846          87             0.177590        0.213424        0.190594
  1846          88             0.187375        0.225490        0.200776
  1846          89             0.245516        0.280957        0.257923
  1846          90             0.308489        0.344227        0.321153
  1846          91             0.235988        0.275428        0.249921
  1846          92             0.243728        0.323024        0.270907
  1846          93             0.242424        0.355140        0.278107
  1846          94             0.257534        0.347305        0.285714
  1846          95             0.293023        0.366197        0.317263
  1846          96             0.344411        0.380282        0.355180
  1846          97             0.400000        0.345550        0.383775
  1846          98             0.297376        0.367347        0.318367
  1846          99             0.394161        0.406780        0.397959
  1846         100             0.871795        0.736842        0.827586
  1846         101             0.370370        0.800000        0.486486
  1846         102             0.276923        0.857143        0.379747
  1846         103             0.486486        0.545455        0.500000
  1846         104             0.500000        6.000000        0.720000
  1846         105             1.000000              .        1.000000
  1846         106             6.000000              .        6.000000
  1846         107                   .              .              .
  1846         108                   .              .              .
  1846         109                   .              .              .
  1846         110+                  .              .              .
  1847           0             0.113808        0.134912        0.124591
