Norway, Period fertility rates by calendar year and age (Lexis squares, age in completed years (ACY))
Last modified: 19/04/2023
Year    Age        ASFR
1967     12-    0.00003
1967     13     0.00000
1967     14     0.00010
1967     15     0.00094
1967     16     0.00753
1967     17     0.02584
1967     18     0.06436
1967     19     0.10227
1967     20     0.14233
1967     21     0.16630
1967     22     0.18633
1967     23     0.19148
1967     24     0.19599
1967     25     0.19097
1967     26     0.17609
1967     27     0.17331
1967     28     0.15253
1967     29     0.14072
1967     30     0.12897
1967     31     0.11508
1967     32     0.10052
1967     33     0.09332
1967     34     0.08154
1967     35     0.06995
1967     36     0.06183
1967     37     0.04947
1967     38     0.04498
1967     39     0.03717
1967     40     0.02968
1967     41     0.01975
1967     42     0.01481
1967     43     0.00905
1967     44     0.00530
1967     45     0.00299
1967     46     0.00150
1967     47     0.00119
1967     48     0.00024
1967     49     0.00004
1967     50     0.00002
1967     51     0.00001
1967     52     0.00001
1967     53     0.00000
1967     54     0.00000
1967     55+    0.00000
1968     12-    0.00000
1968     13     0.00000
1968     14     0.00007
1968     15     0.00100
1968     16     0.00692
1968     17     0.03243
1968     18     0.06562
1968     19     0.10828
1968     20     0.14485
1968     21     0.16481
1968     22     0.18326
1968     23     0.19457
1968     24     0.19209
1968     25     0.19153
1968     26     0.18155
1968     27     0.16873
1968     28     0.15706
1968     29     0.13919
1968     30     0.12365
1968     31     0.10971
1968     32     0.10068
1968     33     0.08885
1968     34     0.07414
1968     35     0.06386
1968     36     0.05973
1968     37     0.04843
1968     38     0.04113
1968     39     0.03273
1968     40     0.02697
1968     41     0.01906
1968     42     0.01236
1968     43     0.00948
1968     44     0.00528
1968     45     0.00250
1968     46     0.00176
1968     47     0.00073
1968     48     0.00019
1968     49     0.00008
1968     50     0.00007
1968     51     0.00005
1968     52     0.00003
1968     53     0.00001
1968     54     0.00000
1968     55+    0.00000
1969     12-    0.00003
1969     13     0.00000
1969     14     0.00020
1969     15     0.00104
1969     16     0.00809
1969     17     0.03278
1969     18     0.07066
1969     19     0.10884
1969     20     0.14011
1969     21     0.17007
1969     22     0.17915
1969     23     0.18963
1969     24     0.19374
1969     25     0.18385
1969     26     0.17235
1969     27     0.16946
1969     28     0.14391
1969     29     0.13746
1969     30     0.12207
1969     31     0.10933
1969     32     0.09448
1969     33     0.08150
1969     34     0.07330
1969     35     0.06655
1969     36     0.05598
